2024-04-10 21:35:55.852802, 280
2024-04-10 21:35:57.847202, 280
2024-04-10 21:36:05.842045, 280
2024-04-10 21:36:05.844966, 255
2024-04-10 21:36:13.408104, 255
2024-04-10 21:36:13.408869, 230
2024-04-10 21:36:21.280281, 230
2024-04-10 21:36:21.280629, 205
2024-04-10 21:36:29.355013, 205
2024-04-10 21:36:29.355590, 180
2024-04-10 21:36:37.314687, 180
2024-04-10 21:36:37.318329, 155
2024-04-10 21:36:45.056335, 155
2024-04-10 21:36:45.056763, 130
2024-04-10 21:36:52.902579, 130
2024-04-10 21:36:52.905058, 105
2024-04-10 21:37:13.600941, 105
2024-04-10 21:37:13.601284, 130
2024-04-11 18:35:01.551742, 130
2024-04-11 18:36:01.551742, 280
